====== He (4500) into Layer 1                   =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    = He   Energy = 4500 keV
============= TARGET MATERIAL ======================================
Layer  1 : PTFE
Layer Width =     5.E+05 A ;
  Layer # 1- Density = 7.947E22 atoms/cm3 = 2.2 g/cm3
  Layer # 1-  C = 33.3 Atomic Percent = 24.0 Mass Percent
  Layer # 1-  F = 66.6 Atomic Percent = 75.9 Mass Percent
====================================================================
 Total Ions calculated =10000.00
 Total Target Vacancies     = 124 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
500001.E-02  1476.00E-08  2346.51E-08  
100000.E-01  2058.00E-08  2873.18E-08  
150000.E-01  2328.00E-08  3322.28E-08  
200000.E-01  2410.00E-08  5775.93E-08  
250000.E-01  2408.00E-08  2941.37E-08  
300000.E-01  2620.00E-08  4595.41E-08  
350000.E-01  2614.00E-08  3148.25E-08  
400000.E-01  2682.00E-08  4054.64E-08  
450000.E-01  2724.00E-08  5337.95E-08  
500000.E-01  2826.00E-08  6426.88E-08  
550000.E-01  2782.00E-08  4524.71E-08  
600000.E-01  2992.00E-08  5323.96E-08  
650000.E-01  2990.00E-08  5390.69E-08  
700000.E-01  3060.00E-08  7552.41E-08  
750000.E-01  3340.00E-08  6103.07E-08  
800000.E-01  3252.00E-08  7435.56E-08  
850000.E-01  3398.00E-08  7903.03E-08  
900000.E-01  3462.00E-08  4970.48E-08  
950000.E-01  3610.00E-08  9930.36E-08  
100000.E+00  3756.00E-08  7400.67E-08  
105000.E+00  3920.00E-08  9321.48E-08  
110000.E+00  4210.00E-08  1036.95E-07  
115000.E+00  4624.00E-08  8414.99E-08  
120000.E+00  4876.00E-08  8865.05E-08  
125000.E+00  4932.00E-08  1058.84E-07  
130000.E+00  5456.00E-08  1210.60E-07  
135000.E+00  5910.00E-08  1119.98E-07  
140000.E+00  6470.00E-08  1175.43E-07  
145000.E+00  7186.00E-08  1517.66E-07  
150000.E+00  8002.00E-08  1581.51E-07  
155000.E+00  9042.00E-08  2042.14E-07  
160000.E+00  1009.00E-07  2027.92E-07  
165000.E+00  1220.40E-07  2658.03E-07  
170000.E+00  1482.40E-07  3555.79E-07  
175000.E+00  1930.80E-07  4698.03E-07  
180000.E+00  2852.20E-07  5925.78E-07  
185000.E+00  4483.00E-07  1064.40E-06  
190000.E+00  8896.00E-07  1976.89E-06  
195000.E+00  3230.64E-06  5626.76E-06  
200000.E+00  2254.58E-06  2950.15E-06  
205000.E+00  1932.00E-08  1893.68E-08  
210000.E+00  0000.00E+00  0000.00E+00  
215000.E+00  0000.00E+00  0000.00E+00  
220000.E+00  0000.00E+00  0000.00E+00  
225000.E+00  0000.00E+00  0000.00E+00  
230000.E+00  0000.00E+00  0000.00E+00  
235000.E+00  0000.00E+00  0000.00E+00  
240000.E+00  0000.00E+00  0000.00E+00  
245000.E+00  0000.00E+00  0000.00E+00  
250000.E+00  0000.00E+00  0000.00E+00  
255000.E+00  0000.00E+00  0000.00E+00  
260000.E+00  0000.00E+00  0000.00E+00  
265000.E+00  0000.00E+00  0000.00E+00  
270000.E+00  0000.00E+00  0000.00E+00  
275000.E+00  0000.00E+00  0000.00E+00  
280000.E+00  0000.00E+00  0000.00E+00  
285000.E+00  0000.00E+00  0000.00E+00  
290000.E+00  0000.00E+00  0000.00E+00  
295000.E+00  0000.00E+00  0000.00E+00  
300000.E+00  0000.00E+00  0000.00E+00  
305000.E+00  0000.00E+00  0000.00E+00  
310000.E+00  0000.00E+00  0000.00E+00  
315000.E+00  0000.00E+00  0000.00E+00  
320000.E+00  0000.00E+00  0000.00E+00  
325000.E+00  0000.00E+00  0000.00E+00  
330000.E+00  0000.00E+00  0000.00E+00  
335000.E+00  0000.00E+00  0000.00E+00  
340000.E+00  0000.00E+00  0000.00E+00  
345000.E+00  0000.00E+00  0000.00E+00  
350000.E+00  0000.00E+00  0000.00E+00  
355000.E+00  0000.00E+00  0000.00E+00  
360000.E+00  0000.00E+00  0000.00E+00  
365000.E+00  0000.00E+00  0000.00E+00  
370000.E+00  0000.00E+00  0000.00E+00  
375000.E+00  0000.00E+00  0000.00E+00  
380000.E+00  0000.00E+00  0000.00E+00  
385000.E+00  0000.00E+00  0000.00E+00  
390000.E+00  0000.00E+00  0000.00E+00  
395000.E+00  0000.00E+00  0000.00E+00  
400000.E+00  0000.00E+00  0000.00E+00  
405000.E+00  0000.00E+00  0000.00E+00  
410000.E+00  0000.00E+00  0000.00E+00  
415000.E+00  0000.00E+00  0000.00E+00  
420000.E+00  0000.00E+00  0000.00E+00  
425000.E+00  0000.00E+00  0000.00E+00  
430000.E+00  0000.00E+00  0000.00E+00  
435000.E+00  0000.00E+00  0000.00E+00  
440000.E+00  0000.00E+00  0000.00E+00  
445000.E+00  0000.00E+00  0000.00E+00  
450000.E+00  0000.00E+00  0000.00E+00  
455000.E+00  0000.00E+00  0000.00E+00  
460000.E+00  0000.00E+00  0000.00E+00  
465000.E+00  0000.00E+00  0000.00E+00  
470000.E+00  0000.00E+00  0000.00E+00  
475000.E+00  0000.00E+00  0000.00E+00  
480000.E+00  0000.00E+00  0000.00E+00  
485000.E+00  0000.00E+00  0000.00E+00  
490000.E+00  0000.00E+00  0000.00E+00  
495000.E+00  0000.00E+00  0000.00E+00  
500000.E+00  0000.00E+00  0000.00E+00  

 To convert to Energy Lost - multiply by Average Binding Energy =  3  eV/Vacancy
